Timestamp,NameOrID,RateSkills,GameplayStyle,drop,Language,RankPusher,PlayDays,PlayerType,MapPreference,Driver,camp,snake,bridgecamp,
2020/05/07 12:14:38 PM GMT+5:30,5154695066,4,Mostly rushing,Georgopol;Novo;Pochinki;Rozhok;Severny;Boot Camp(sanhok);Paradise Resort;ha thin;pecado;hacienda del patron;Castle(vikendi);villa;cosmodrome;cement factory,English,Casual pusher,Everyday,Sniper,Miramar;Vikendi,No prefernce,1,1,1,
2020/05/07 12:15:26 PM GMT+5:30,-----,4,Mostly rushing,Military Base;san martin;hacienda del patron,English,Casual pusher,Most days,No preference,Miramar,Yes,1,2,4,
2020/05/07 12:21:53 PM GMT+5:30,Pattles,3,Moderate rush,Georgopol;Novo;Prison;Castle(vikendi);villa;cosmodrome,English;Others,Casual pusher,Most days,Support;Assault;Sniper,Erangel,Yes,2,3,3,
2020/05/07 12:51:25 PM GMT+5:30,5264617388,3,Moderate rush,Georgopol;Rozhok;Prison,English,Casual pusher,Most days,Assault;Sniper,Erangel;Sanhok,No prefernce,2,5,4,
2020/05/07 12:54:29 PM GMT+5:30,Luckycat ,3,Moderate rush,Mylta,English,Casual pusher,Everyday,Assault;Sniper,Erangel,Yes,1,1,1,
2020/05/07 1:01:48 PM GMT+5:30,TEX,4,Mostly rushing,Georgopol;Novo;Military Base;Pochinki;Rozhok;Yasnaya;Boot Camp(sanhok);Paradise Resort;pecado;san martin;el pozo;hacienda del patron;goroka;dobro mesto;volnova;cement factory,English,Yes,Everyday,Support;Assault,Miramar;Sanhok;Vikendi,No,1,2,2,
2020/05/07 1:08:44 PM GMT+5:30,SDxCATDADDY,3,Mostly rushing,Military Base;Pochinki;Rozhok;Georgopol City;Severny;Boot Camp(sanhok);ha thin;el pozo;los leones;hacienda del patron;goroka,English;Korean,Casual pusher,Everyday,Assault,Erangel;Sanhok,Yes,2,2,4,
2020/05/07 1:11:45 PM GMT+5:30,PÊnnis,4,Moderate rush,Georgopol;Novo;Military Base;Pochinki;Rozhok;Yasnaya;Georgopol City;Mylta;Prison;Severny;Quarry;power grid(miramar);san martin;el pozo;los leones;hacienda del patron;Castle(vikendi);villa;zabaya;cosmodrome;vihar,English;No mic,Casual pusher,Everyday,No preference,Erangel;Miramar;Sanhok,Yes,3,3,2,
2020/05/07 1:15:24 PM GMT+5:30,XÖR々Neetfail,3,Moderate rush,Georgopol;Novo;Military Base;Pochinki;School/Apartments;Rozhok;Yasnaya;Georgopol City;Mylta;Mylta Power;Factory;Prison;Mansion;Severny;Boot Camp(sanhok);Quarry;ha thin;power grid(miramar);la bendita;pecado;san martin;el pozo;los leones;hacienda del patron;Castle(vikendi);goroka;krichas;dobro mesto;villa;volnova;zabaya;cosmodrome;port;vihar;movatra;others,English;Hindi,Casual pusher,Most days,Support;Assault,Erangel;Vikendi,No,2,3,4,
2020/05/07 1:48:23 PM GMT+5:30,69IVEDANT,3,Moderate rush,Georgopol;Novo;Military Base;Pochinki,English;Hindi,Yes,Everyday,No preference,Erangel,No,2,3,4,
2020/05/07 2:07:04 PM GMT+5:30,AZĪIĪCYPHER / 510906864,4,Moderate rush,Military Base;Pochinki;School/Apartments;Mylta;Boot Camp(sanhok);Paradise Resort;ha thin;san martin;los leones;hacienda del patron;Castle(vikendi);goroka;villa;cement factory,English;Hindi,Casual pusher,Everyday,Assault;Sniper,Erangel;Vikendi,Yes,2,2,2,
2020/05/07 2:18:57 PM GMT+5:30,xEquTR,3,Moderate rush,Military Base;Pochinki;Georgopol City;Mylta;Boot Camp(sanhok);Paradise Resort;pecado;el pozo;hacienda del patron;goroka;dobro mesto;villa,English;Hindi,No,Most days,Support,Erangel;Miramar;Sanhok,Yes,1,1,1,
2020/05/07 3:19:06 PM GMT+5:30,Anonymous,4,Mostly rushing,Georgopol;Novo;Military Base;Rozhok;Boot Camp(sanhok);Paradise Resort;pecado;el pozo;los leones;hacienda del patron;villa;cosmodrome;others,No mic,Yes,Most days,Support;Assault;Sniper;No preference,no preference,No prefernce,2,1,3,
2020/05/07 3:19:50 PM GMT+5:30,AkashiKUN,3,Always rushing,Georgopol;Novo;Military Base;Pochinki;Boot Camp(sanhok);pecado;hacienda del patron;villa,English;Hindi,No,Most days,No preference,Erangel,No,1,2,2,
2020/05/07 3:33:45 PM GMT+5:30,chiyachu,4,Moderate rush,Georgopol;Novo;Military Base;Pochinki;School/Apartments;Rozhok;Boot Camp(sanhok);Paradise Resort;pecado;san martin;el pozo;los leones;hacienda del patron;villa;coal mine;cosmodrome;cement factory,English;Hindi,Casual pusher,Most days,Support;Assault;Sniper,Erangel;Miramar;Sanhok;Vikendi,Yes,2,2,3,
2020/05/07 5:16:20 PM GMT+5:30,SUNKEE๛HelBoy,4,Safe with little risk,Military Base;School/Apartments;Georgopol City,English;Hindi,Yes,Everyday,Support;Sniper,Erangel,Yes,2,2,2,
2020/05/07 5:32:31 PM GMT+5:30,5102053113,3,Moderate rush,School/Apartments;Rozhok;no preference,English,Casual pusher,Most days,No preference,Erangel;Miramar;Vikendi,No,4,2,2,
2020/05/07 6:23:29 PM GMT+5:30,AZ | scarley,3,Moderate rush,School/Apartments;Rozhok,English;Hindi,Casual pusher,Weekends,No preference,Erangel,Yes,3,3,4,
2020/05/07 8:02:01 PM GMT+5:30,DuragDynasty,3,Moderate rush,Georgopol;Yasnaya;Factory,English,Casual pusher,Most days,No preference,Erangel,Yes,2,2,2,
2020/05/07 8:10:37 PM GMT+5:30,JAMskingle,3,Moderate rush,School/Apartments;Rozhok;Mylta;Prison,English;Others,Yes,Everyday,Support,Erangel;Sanhok,Yes,2,1,4,
